cov_nr,arm,n,time_total_days,diagnosis,gender_pct_female,age_mean,age_sd,age_se,fev1_pct_mean,fev1_pct_sd,age_other,healthcare_setting,health_literacy,digital_literacy,ses,educational_level,ethnicity
3162,treat1,24,365,COPD,0.0,71.4,,1.7,45.2,,,3,,,,,
3182,control,35,270,COPD,46.0,66.0,8.0,,49.0,17.0,,3,,,,,
3182,treat1,30,270,COPD,39.0,62.0,7.0,,50.0,21.0,,3,,,,,
3535,control,52,180,COPD,65.0,70.0,8.0,,52.0,17.0,,3,,,,,
3535,treat1,49,180,COPD,55.0,68.0,8.0,,50.0,17.0,,3,,,,,
3630,control,84,365,COPD,8.0,66.4,9.2,,,,,3,,,"VA!
Residence, n(%)
Urban 47 (56)
Rural 37 (44)",,"Race, n(%)
Black 3 (4)
White 79 (94)
Other 2 (2)"
3630,treat1,154,365,COPD,5.2,67.0,8.6,,,,,3,,,"VA!
Residence, n(%)
Urban 83 (53.9)
Rural 71 (46.1)",,"Race, n(%)
Black 7 (4.6)
White 142 (92.2)
Other 5 (3.3)"
4104,control,37,365,COPD,41.0,69.3,8.0,,49.4,19.8,,3,,"Computer/Internet use
Comfortable with use 37 (90%)
Duration, >1 year 39 (95%)
Frequency of use, daily 28 (68%)","VA!
Not currently employed, disabled, retired
28 (68%)
Live with spouse or other 
29 (71%)","Education
High school or some college 23 (56%)
College or more 17 (42%)","Caucasian
36 (88%)"
4104,treat1,35,365,COPD,54.0,68.2,9.9,,50.6,18.2,,3,,"Computer/Internet use
Comfortable with use 36 (88%)
Duration, >1 year 37 (90%)
Frequency of use, daily 21 (51%)","VA!
Not currently employed, disabled, retired
32 (78%)
Live with spouse or other
26 (63%)","Education
High school or some college 19 (46%)
College or more 18 (44%)","Caucasian
37 (90%)"
4104,treat2,38,365,COPD,42.0,68.5,11.0,,53.3,20.4,,3,,"Computer/Internet use
Comfortable with use 39 (91%)
Duration, >1 year 43 (100%)
Frequency of use, daily 33 (77%)","VA!
Not currently employed, disabled, retired
34 (79%)
Live with spouse or other
29 (68%)","Education
High school or some college 21 (49%)
College or more 20 (47%)","Caucasian
40 (93%)"
4106,control,20,180,COPD,45.0,70.9,8.6,,50.3,17.6,,3,,"Computer/Internet Skills

Self-rated computer skills
Beginner 2 (10%)
Intermediate 14 (70%)
Advanced 4 (20%)

Computer use, years (mean ± SD) 5.6 ± 2.7
Hours on the Internet per week, median (range) 9.5 (1-25)
Participate in online support groups 2 (10%)","Not currently employed or currently disabled or retired 15 (75%)
Living situation: with spouse or other 13 (65 %)","High school or some college 8 (40%)
College or more 12 (60%)",Caucasian 18 (95%)
4106,treat1,19,180,COPD,39.0,68.0,8.3,,49.0,16.8,,3,,"Computer/Internet Skills

Self-rated computer skills
Beginner 4 (21%)
Intermediate 9 (47%)
Advanced 6 (32%)

Computer use, years (mean ± SD) 5.7 ± 2.
Hours on the Internet per week, median (range) 15.0 (1-90)
Participate in online support groups 5 (28%)","Not currently employed or currently disabled or retired 13 (72%)
Living situation: with spouse or other 12 (63%)","High school or some college 10 (50%)
College or more 9 (50%)",Caucasian 20 (100%)
4108,control,9,180,COPD,67.0,72.0,9.0,,46.7,18.7,,3,,Computer user 8 (100%),Married/partnered 3 (38%),College educated or higher 7 (88%),"Caucasian 6 (75%)
African-American 2 (25%)"
